,title,manufacturer,retailer,code,link,operation,date_ops
34,"Bombilla LED Standard Philips 7,5W. E27",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/hogar/A17812095-bombilla-led-standard-philips-75w-e27/,RPI Re-added to Retailer,07-11-2022 12:20
35,Pack de 3 bombillas LED estándar E27 8 W 806 lm 2.700 K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A36032897-pack-de-3-bombillas-led-estandar-e27-8-w-806-lm-2700-k/,RPI Re-added to Retailer,07-11-2022 12:20
36,Pack de 3 bombillas LED estándar E27 8 W 806 lm 4.000 K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A36032894-pack-de-3-bombillas-led-estandar-e27-8-w-806-lm-4000-k/,RPI Re-added to Retailer,07-11-2022 12:20
37,"Pack de 3 empotrables LED 4,5 W 380 lm 2700 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A40563224-pack-de-3-empotrables-led-45-w-380-lm-2700-k/,RPI Re-added to Retailer,07-11-2022 12:20
38,"Pack de 3 bombillas LED vela E14 5,5W 470lm",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A36032898-pack-de-3-bombillas-led-vela-e14-55w-470lm/,RPI Re-added to Retailer,07-11-2022 12:20
39,"Pack 3 empotrables LED 4,5 W 380 lm 2700 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A40563225-pack-3-empotrables-led-45-w-380-lm-2700-k/,RPI Re-added to Retailer,07-11-2022 12:20
40,Bombilla LED Globo Claro 8W E27 Philips,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/hogar/A19675653-bombilla-led-globo-claro-8w-e27-philips/,RPI Re-added to Retailer,07-11-2022 12:20
41,Tubo LED inteligente Philips Play gradient compact Negro,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562503-tubo-led-inteligente-philips-play-gradient-compact-negro/,RPI Re-added to Retailer,07-11-2022 12:20
42,Lámpara de mesa Philips Gradient Signe Negro,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562552-lampara-de-mesa-philips-gradient-signe-negro/,RPI Re-added to Retailer,07-11-2022 12:20
43,Bombilla LED deco filamento A60 4 W 1800 K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A42746404-bombilla-led-deco-filamento-a60-4-w-1800-k/,RPI Re-added to Retailer,07-11-2022 12:20
44,"Afeitadora corporal Philips Serie 3000, recorta y afeita, uso en seco y húmedo",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electrodomesticos/A26034165-afeitadora-corporal-philips-serie-3000-recorta-y-afeita-uso-en-seco-y-humedo/,RPI Re-added to Retailer,07-11-2022 12:20
45,"Bombilla Philips Hue White&Color 4,3 W GU10",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A40938183-bombilla-philips-hue-white-and-color-43-w-gu10/,RPI Re-added to Retailer,07-11-2022 12:20
46,Bombilla LED Classic Clara 6 W. E27 Philips,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/hogar/A19675641-bombilla-led-classic-clara-6-w-e27-philips/,RPI Re-added to Retailer,07-11-2022 12:20
47,"Kit de inicio Philips Hue White and Color Ambiance E27 (3 bombillas, puente Hue y un mando)",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A40938164-kit-de-inicio-philips-hue-white-and-color-ambiance-e27-3-bombillas-puente-hue-y-un-mando/,RPI Re-added to Retailer,07-11-2022 12:20
48,Pendrive 2 en 1 Philips 64 GB USB y USB C,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A43398724-pendrive-2-en-1-philips-64-gb-usb-y-usb-c/,RPI Re-added to Retailer,07-11-2022 12:20
49,Timbre sin cables welcomebell,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A43006160-timbre-sin-cables-welcomebell/,RPI Re-added to Retailer,07-11-2022 12:20
50,Timbre sin cables welcomebell,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A43006159-timbre-sin-cables-welcomebell/,RPI Re-added to Retailer,07-11-2022 12:20
51,Downlight LED redondo empotrable 17 W 1600 lm,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A40563228-downlight-led-redondo-empotrable-17-w-1600-lm/,RPI Re-added to Retailer,07-11-2022 12:20
52,Plafón cuadrado para exterior Philips Skies,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/hogar/A15951177-plafon-cuadrado-para-exterior-philips-skies/,RPI Re-added to Retailer,07-11-2022 12:20
53,"Pack 2 bombillas Philips Hue White&Color 10,5W E27",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A40938182-pack-2-bombillas-philips-hue-white-and-color-105w-e27/,RPI Re-added to Retailer,07-11-2022 12:20
54,Bombilla LED Philips Hue White and Color Ambiance Vela E14,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A40938189-bombilla-led-philips-hue-white-and-color-ambiance-vela-e14/,RPI Re-added to Retailer,07-11-2022 12:20
55,Bombilla Philips Hue White&Color 10.5W A60 E27,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A40938175-bombilla-philips-hue-white-and-color-105w-a60-e27/,RPI Re-added to Retailer,07-11-2022 12:20
56,"Bombilla LED deco filamento vela 2,5 W 1800 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A42748338-bombilla-led-deco-filamento-vela-25-w-1800-k/,RPI Re-added to Retailer,07-11-2022 12:20
57,"Bombilla LED deco filamento esférica 2,6 W 1800 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A42746405-bombilla-led-deco-filamento-esferica-26-w-1800-k/,RPI Re-added to Retailer,07-11-2022 12:20
58,Bombilla LED deco filamento Edison 4 W 1800 K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A42746412-bombilla-led-deco-filamento-edison-4-w-1800-k/,RPI Re-added to Retailer,07-11-2022 12:20
59,Extensión de tira LED Philips Gradient Lightstrip 1 metro,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562611-extension-de-tira-led-philips-gradient-lightstrip-1-metro/,RPI Re-added to Retailer,07-11-2022 12:20
